topic_id,topic_keywords,sentence,stars,sentiment,sentiment_conf,date
6,"review, stars, charged, star, details",That's the winning combination!,5.0,1,0.9998431205749512,2021-10-24 13:12:33
5,"definitely, soon, wait, ll, return",We love the ambiance and cannot wait to go back!,5.0,1,0.9998420476913452,2021-02-21 02:14:04
3,"wait, yelp, waitlist, table, minutes",The wait on a Sunday at noon was well worth it!,5.0,1,0.999841332435608,2020-03-01 21:31:27
6,"review, stars, charged, star, details",That's always a plus!,5.0,1,0.9998412132263184,2020-05-27 00:29:05
3,"wait, yelp, waitlist, table, minutes",The wait was ridiculous but well worth it.,4.0,1,0.9998095631599426,2020-01-06 12:47:30
5,"definitely, soon, wait, ll, return",Our trip has been ruined.,1.0,0,0.9998015761375428,2019-05-29 00:33:35
8,"menu, options, things, things menu, menus",They have a wide variety of options and a gluten free menu which is perfect since my boyfriend can't have gluten.,5.0,1,0.9997860789299012,2021-02-25 18:01:41
6,"review, stars, charged, star, details",For this I gave them an extra star.,4.0,1,0.9997804760932922,2020-02-21 17:09:49
8,"menu, options, things, things menu, menus",We were so blown away by the variety of menu options that it was hard to make a solid decision on what to get.,5.0,0,0.9997747540473938,2021-05-15 16:34:48
5,"definitely, soon, wait, ll, return",But not good enough for us to try it again.,2.0,0,0.9997606873512268,2021-02-13 18:00:29
5,"definitely, soon, wait, ll, return",I will definitely be back!,5.0,1,0.9997598528862,2021-02-25 18:01:41
6,"review, stars, charged, star, details",Which makes no sense at all.,1.0,0,0.9997225403785706,2019-05-12 15:22:40
6,"review, stars, charged, star, details",I don't think you get a choice in this.,4.0,0,0.999675750732422,2019-09-11 19:10:26
